,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,latitude,longitude,town,country
32,5.5,8.9,10.6,11.9,17.7,22.6,25.5,25.5,21.0,18.9,12.6,10.2,42.23567,2.28421,Sant Joan de les Abadesses,España
33,5.5,8.9,10.6,11.9,17.7,22.6,25.5,25.5,21.0,18.9,12.6,10.2,41.80704,2.74448,Sils,España
34,-0.2,2.6,9.6,16.3,19.9,23.1,21.2,14.8,13.3,5.8,2.2,,45.6263,7.06263,Valgrisenche,Italia
35,-1.2,2.4,9.2,15.5,20.4,18.9,13.5,11.8,5.1,0.9,,,45.59389,7.20708,Valsavarenche,Italia
36,1.8,6.0,10.8,17.4,20.6,22.8,23.0,16.2,15.7,9.2,5.2,,46.77409,5.52248,Arlay,France
37,9.5,12.2,11.6,13.7,22.6,26.1,31.1,28.8,23.4,22.1,14.2,12.1,37.59001,-4.08879,Alcaudete,España
38,3.6,4.7,6.4,12.5,17.6,19.0,13.2,11.9,6.3,1.3,,,54.31272,13.09759,Stralsund,Deutschland
39,7.6,9.6,13.7,19.2,24.3,26.4,25.6,21.9,18.3,13.0,10.0,,43.96318,6.66433,Annot,France
40,3.0,6.9,9.0,11.1,17.9,20.8,22.3,22.2,16.6,17.6,,,45.58797,3.11329,Champeix,France
41,7.7,11.1,12.2,14.3,19.5,24.3,26.5,27.1,23.2,20.0,15.0,11.6,41.39847,1.10464,l'Espluga de Francolí,España
42,7.7,11.1,12.2,14.3,19.5,24.3,26.5,27.1,23.2,20.0,15.0,11.6,41.16679,1.45677,Creixell,España
43,8.0,8.8,9.7,10.5,15.5,15.9,20.8,19.9,16.9,15.5,11.4,10.2,42.76222,-8.25611,Vila de Cruces,España
44,6.8,9.3,,12.8,19.3,19.4,25.3,24.4,20.1,18.3,12.5,11.6,42.44155,-7.79195,A Peroxa,España
45,4.6,7.4,9.8,11.5,18.8,19.7,24.9,23.8,18.1,16.1,9.7,8.9,42.38907,-7.11513,A Rúa,España
46,3.6,5.9,9.2,15.4,19.3,20.8,14.5,13.9,8.9,3.4,,,50.76145,6.10291,Aachen,Deutschland
47,12.4,13.8,15.2,15.8,21.1,23.8,27.9,28.4,24.0,22.6,17.7,15.0,37.15425,-2.77737,Abla,España
48,8.0,8.8,9.7,10.5,15.5,15.9,20.8,19.9,16.9,15.5,11.4,10.2,42.75889,-8.02111,Agolada,España
49,3.3,5.8,5.9,8.7,16.2,20.7,24.2,22.7,16.7,14.8,8.0,6.5,41.84743,-1.93007,Ágreda,España
50,2.4,4.5,6.2,8.3,16.3,18.0,20.9,20.7,15.7,14.8,7.9,6.8,42.7863,-4.25724,Aguilar de Campoo,España
51,6.5,10.7,14.0,19.7,24.6,27.0,26.1,20.9,19.1,12.9,8.8,,43.56522,4.19645,Aigues-Mortes,France
52,10.8,13.3,13.9,16.0,22.8,25.8,30.5,27.7,24.7,22.7,16.1,14.3,38.03745,-5.71036,Alanís,España
53,4.8,9.0,10.1,12.4,21.2,25.7,30.3,28.2,22.2,19.0,12.3,9.9,39.38959,-3.21934,Alcázar de San Juan,España
54,7.7,11.1,12.2,14.3,19.5,24.3,26.5,27.1,23.2,20.0,15.0,11.6,41.26326,1.1729,Alcover,España
55,4.1,3.0,4.9,9.2,12.4,13.2,14.0,12.0,9.5,,,,62.47643,6.15842,Ålesund,Norge
56,1.3,3.8,7.5,,19.0,20.2,20.1,13.2,12.4,5.7,1.2,,48.22077,11.62534,München,Deutschland
57,12.4,13.8,15.2,15.8,21.1,23.8,27.9,28.4,24.0,22.6,17.7,15.0,36.69709,-2.79397,El Ejido,España
58,2.7,4.2,4.5,7.5,14.0,17.6,18.6,19.9,13.0,11.9,6.6,,50.74863,9.27856,Alsfeld,Deutschland
59,-6.5,-8.1,0.1,5.3,11.8,,,,,,,,69.98899,23.48611,Alta,Norge
60,2.8,6.4,12.6,19.8,24.7,27.5,25.3,19.6,16.6,8.7,4.9,,45.78528,8.44087,Vacciago,Italia
61,2.7,5.7,9.4,16.3,21.5,22.1,14.8,13.5,8.2,3.5,,,49.24773,6.13846,Hagondange,France
62,6.8,9.9,12.7,18.5,21.0,23.3,23.6,20.1,19.2,13.9,10.1,,44.74496,-1.11095,Andernos-les-Bains,France
63,2.0,5.4,9.4,16.9,22.3,24.9,23.6,18.0,16.1,9.5,10.1,,40.98399,-0.44725,Andorra,España
64,12.8,14.6,14.3,16.1,21.0,25.2,25.7,26.5,24.6,20.6,17.6,14.3,37.0213,-4.57154,Antequera,España
65,4.6,7.0,6.0,9.7,18.3,23.8,25.7,22.6,18.0,16.1,9.8,8.3,43.5595,12.42003,Apecchio,Italia
66,2.4,4.5,6.2,8.3,16.3,18.0,20.9,20.7,15.7,14.8,7.9,6.8,41.67026,-3.69273,Aranda de Duero,España
67,5.0,6.9,11.9,18.5,23.9,26.6,24.3,18.8,16.2,10.2,9.1,,43.47195,11.88764,Arezzo,Italia
68,4.0,7.3,9.3,10.4,17.4,21.3,23.2,23.6,18.8,18.3,10.1,8.1,42.17361,-1.59155,Arguedas,España
69,4.6,7.7,9.4,11.5,18.3,22.8,24.7,24.4,19.5,17.8,10.1,7.0,42.21404,-2.23987,Arnedillo,España
70,4.1,6.7,9.8,14.6,19.7,20.6,15.0,14.4,9.3,3.7,,,50.29442,2.78836,Saint-Laurent-Blangy,France
71,6.3,7.9,9.9,16.3,19.3,19.6,16.1,15.2,10.7,5.9,,,49.33906,-0.6258,Arromanches-les-Bains,France
72,4.6,7.7,9.4,11.5,18.3,22.8,24.7,24.4,19.5,17.8,10.1,7.0,42.58921,-2.0957,Arróniz,España
73,4.4,8.1,9.1,10.8,17.6,20.2,22.3,23.1,18.6,17.9,10.2,7.9,42.87507,-0.39439,Laruns,France
74,9.3,10.5,11.6,12.1,17.6,17.6,22.9,21.3,18.8,16.9,12.5,11.3,42.08722,-8.41389,As Neves,España
75,5.4,7.3,8.6,10.0,15.0,16.2,19.9,19.5,16.4,15.5,10.6,9.1,42.81034,-7.10733,As Nogais,España
76,9.3,12.6,12.1,15.4,21.4,26.0,28.1,28.2,23.9,21.1,14.9,11.7,41.18698,0.56835,Ascó,España
77,2.4,4.4,6.6,8.1,15.1,17.5,22.5,21.6,15.4,13.6,7.4,6.4,42.45136,-6.06599,Astorga,España
78,3.2,8.2,11.6,18.7,21.9,23.9,24.5,19.3,17.9,10.5,8.0,,43.63736,0.58601,Auch,France
79,5.9,7.9,10.9,14.8,17.3,20.3,20.6,16.1,15.1,11.0,,,47.66396,-2.97342,Auray,France
80,1.2,5.5,11.8,22.4,24.5,23.3,17.3,17.6,,,,,45.0518,6.07838,Auris,France
81,20.8,23.2,23.2,16.6,15.6,8.7,,,,,,,46.95545,4.3163,Autun,France
82,2.7,5.4,12.4,19.0,23.8,26.8,24.6,18.7,,,,,45.07324,7.39034,Avigliana,Italia
83,4.4,7.4,11.4,17.2,19.8,22.7,23.1,17.0,16.2,9.8,5.6,,47.21286,0.17715,Avoine,France
84,4.6,7.7,9.4,11.5,18.3,22.8,24.7,24.4,19.5,17.8,10.1,7.0,42.65421,-2.0455,Iratxe,España
85,0.8,2.1,6.5,13.8,17.9,18.8,,,,,,,50.31196,9.79737,Bad Brückenau,Deutschland
86,9.5,12.2,11.6,13.7,22.6,26.1,31.1,28.8,23.4,22.1,14.2,12.1,37.99629,-3.45957,Baeza,España
87,4.4,8.1,9.1,10.8,17.6,20.2,22.3,23.1,18.6,17.9,10.2,7.9,43.0733,0.15366,Bagnères-de-Bigorre,France
88,1.0,4.7,10.6,17.7,21.3,23.5,22.4,15.9,14.9,7.7,,,45.97138,6.0312,Dalmaz,France
89,-1.6,2.7,8.3,16.0,20.9,22.2,21.3,14.4,12.2,6.0,2.5,,46.22619,14.70403,Kamnik,Slovenija
90,2.6,4.6,4.4,8.0,15.3,19.3,19.6,20.4,13.3,11.8,5.8,1.9,49.88608,10.90295,Bamberg,Deutschland
91,9.1,10.1,11.3,11.8,16.3,17.4,20.6,20.5,18.7,17.6,13.5,12.0,43.33976,-8.35468,Oleiros,España
92,-3.3,-3.2,1.2,8.0,12.6,12.5,6.7,9.1,2.1,-1.8,,,47.67176,12.01018,Bayrischzell,Deutschland
93,20.8,23.2,23.2,16.6,15.6,8.7,,,,,,,47.01776,4.83685,Beaune,France
94,5.4,7.3,8.6,10.0,15.0,16.2,19.9,19.5,16.4,15.5,10.6,9.1,42.85283,-7.15322,Becerreá,España
95,6.0,8.7,13.6,25.4,28.0,26.7,20.0,19.0,12.1,8.9,,,44.12493,5.17239,Bédoin,France
96,2.7,5.5,12.2,18.5,21.7,24.4,23.0,17.2,14.5,7.5,3.1,,46.20135,9.01748,Bellinzona,Schweiz/Suisse/Svizzera/Svizra
97,3.0,5.5,10.8,18.7,23.2,25.8,24.4,17.4,16.4,9.5,,,46.13766,12.2141,Belluno,Italia
98,7.7,11.1,12.2,14.3,19.5,24.3,26.5,27.1,23.2,20.0,15.0,11.6,41.24624,1.56985,Bellvei,España
99,9.2,12.0,12.6,14.9,20.0,25.4,27.6,28.2,24.5,20.6,16.5,13.8,39.70905,-1.10108,Benagéber,España
100,3.5,5.8,8.4,9.1,15.3,18.6,20.5,21.2,16.6,16.7,9.6,8.4,43.1034,-2.42424,Bergara,España
101,3.2,7.5,11.9,18.2,21.1,23.0,23.7,18.0,17.7,10.3,7.2,,44.87108,0.50389,Bergerac,France
102,8.5,10.0,12.9,12.6,17.5,19.9,22.6,22.9,20.1,20.7,13.9,13.0,43.4233,-2.72611,Bermeo,España
103,4.0,7.3,9.3,10.4,17.4,21.3,23.2,23.6,18.8,18.3,10.1,8.1,42.84038,-1.6652,Berriozar,España
104,9.2,12.0,12.6,14.9,20.0,25.4,27.6,28.2,24.5,20.6,16.5,13.8,39.57951,-0.44537,Bétera,España
105,7.2,10.2,12.1,17.2,19.9,22.3,22.7,19.4,19.9,13.5,11.8,,43.4659,-1.57174,Biarritz,France
106,9.2,12.0,12.6,14.9,20.0,25.4,27.6,28.2,24.5,20.6,16.5,13.8,39.13286,-0.79065,Bicorp,España
107,3.9,6.1,7.5,10.2,17.1,20.3,21.7,23.3,15.0,13.2,7.9,3.2,49.96882,7.94462,Bingen am Rhein,Deutschland
108,6.9,9.9,12.3,17.9,20.6,23.2,23.4,20.0,19.4,13.7,9.6,,44.45887,-1.24529,La Teste-de-Buch,France
109,-0.2,1.5,2.7,5.1,13.0,17.4,17.5,18.2,10.9,10.5,4.1,,50.0537,11.7935,Rangen,Deutschland
110,5.4,7.3,8.6,10.0,15.0,16.2,19.9,19.5,16.4,15.5,10.6,9.1,43.42094,-6.8145,El Serredo,España
111,2.4,4.4,6.6,8.1,15.1,17.5,22.5,21.6,15.4,13.6,7.4,6.4,42.87276,-5.32588,Boñar,España
112,3.2,8.2,12.2,19.2,21.9,24.3,24.8,19.4,18.3,10.9,7.8,,44.17784,0.66167,Boé,France
113,2.8,6.4,10.3,17.7,22.1,22.2,15.0,13.9,8.2,3.5,,,48.68872,8.1292,Bühl,Deutschland
114,2.8,4.8,12.7,19.6,23.5,26.1,24.1,18.1,14.5,,,,46.47317,11.33717,Bolzano - Bozen,Italia
115,1.9,4.9,8.8,15.6,18.5,21.2,21.4,14.9,15.1,7.8,5.3,,45.39896,2.49721,Bort-les-Orgues,France
116,6.1,7.6,9.9,13.3,16.2,19.1,20.0,16.0,15.0,10.7,5.4,,50.74415,1.59751,Boulogne-sur-Mer,France
117,3.4,7.0,9.4,11.6,17.9,20.7,22.6,23.3,16.6,16.0,9.3,5.3,47.07638,2.39861,Bourges,France
118,4.0,7.8,9.2,10.5,17.4,20.3,22.2,22.9,17.5,17.1,9.8,7.4,43.17786,0.97461,Boussens,France
119,3.3,7.8,10.4,11.3,18.1,20.8,23.2,23.9,17.8,18.1,10.5,7.1,44.48413,1.644,Bouziès,France
120,5.2,7.4,10.6,17.9,19.8,26.0,24.9,18.1,15.1,8.7,7.7,,41.80398,-6.74596,Bragança,Portugal
121,3.0,7.1,11.6,17.8,20.4,22.3,23.1,17.3,16.9,9.7,6.7,,45.3791,0.64585,Brantôme en Périgord,France
122,3.0,7.1,11.6,17.8,20.4,22.3,23.1,17.3,16.9,9.7,6.7,,45.36042,0.64791,Brantôme en Périgord,France
123,-9.3,-9.7,-9.4,-7.4,-1.2,2.2,4.9,3.5,-1.3,-0.4,-7.4,-9.1,45.92608,7.62047,Breuil-Cervinia,Italia
124,5.0,8.6,12.5,19.0,21.2,23.6,24.7,18.8,17.9,11.1,7.0,,45.33291,-0.04577,Brossac,France
125,4.6,8.4,11.8,19.9,24.4,28.9,27.1,20.6,17.6,10.7,8.7,,40.36809,-2.76267,Garcinarro,España
126,9.7,11.3,14.5,19.0,27.0,26.6,24.2,20.6,16.6,14.1,,,39.40275,8.40184,Bugerru/Buggerru,Italia
127,5.4,7.3,8.6,10.0,15.0,16.2,19.9,19.5,16.4,15.5,10.6,9.1,43.6532,-7.35838,Burela,España
128,2.4,4.5,6.2,8.3,16.3,18.0,20.9,20.7,15.7,14.8,7.9,6.8,42.35139,-3.68056,Burgos,España
129,12.4,13.8,15.2,15.8,21.1,23.8,27.9,28.4,24.0,22.6,17.7,15.0,36.81611,-2.14961,Níjar,España
130,3.3,7.8,10.4,11.3,18.1,20.8,23.2,23.9,17.8,18.1,10.5,7.1,44.44022,1.4409,Cahors,France
131,6.3,10.0,13.5,19.6,24.7,26.4,26.8,22.3,19.2,13.8,,,41.73494,1.51397,Calaf,España
132,2.0,5.4,9.4,16.9,22.3,24.9,23.6,18.0,16.1,9.5,10.1,,41.35056,-1.64679,Calatayud,España
133,7.7,8.9,10.9,14.0,16.2,19.1,19.5,16.1,15.0,12.0,7.1,,48.2741,-4.60858,Camaret-sur-Mer,France
134,4.4,8.1,9.1,10.8,17.6,20.2,22.3,23.1,18.6,17.9,10.2,7.9,43.01819,0.17829,Campan,France
135,10.4,12.8,12.9,14.2,,24.5,26.8,27.8,23.9,19.9,16.3,13.6,38.93856,-0.1527,l'Alqueria de la Comtessa,España
136,1.6,5.6,9.4,16.6,20.1,22.5,23.0,16.8,16.2,8.9,5.8,,44.568,2.58947,Campuac,France
137,9.7,10.6,,12.1,15.6,17.7,20.2,20.5,18.6,18.0,13.6,12.4,43.58487,-5.77208,Candás,España
138,9.7,10.6,,12.1,15.6,17.7,20.2,20.5,18.6,18.0,13.6,12.4,43.3526,-5.12553,Cangas de Onís / Cangues d'Onís,España
139,9.3,10.5,11.6,12.1,17.6,17.6,22.9,21.3,18.8,16.9,12.5,11.3,42.25536,-8.79764,Cangas,España
140,2.4,6.4,7.7,10.1,17.6,23.3,25.2,23.8,18.9,16.1,10.2,7.7,40.52591,-0.40742,Cantavieja,España
141,7.2,10.2,12.1,17.2,19.9,22.3,22.7,19.4,19.9,13.5,11.8,,43.63606,-1.44719,Capbreton,France
142,10.9,11.5,12.3,12.8,16.6,17.7,19.9,19.6,19.1,17.9,14.6,13.1,43.73358,-7.87437,Cariño,España
143,5.9,7.9,10.9,14.8,17.3,20.3,20.6,16.1,15.1,11.0,,,47.58462,-3.08237,Carnac,France
144,8.0,8.8,9.7,10.5,15.5,15.9,20.8,19.9,16.9,15.5,11.4,10.2,42.84105,-9.09585,Carnota,España
145,3.2,5.5,7.3,8.8,16.1,19.8,24.1,23.1,17.1,15.4,8.6,7.3,42.33812,-4.608,Carrión de los Condes,España
146,5.4,9.3,12.1,18.1,20.8,23.3,23.7,19.4,18.7,11.8,9.5,,43.47287,-0.93416,Salies-de-Béarn,France
147,10.9,12.6,14.0,15.1,20.0,24.2,27.1,27.9,25.1,21.2,17.1,14.6,37.61503,-1.00549,Cartagena,España
148,5.2,9.1,11.3,12.6,19.1,21.6,24.1,24.7,19.5,18.6,11.7,8.2,45.18262,-0.5835,Cartelègue,France
149,3.5,5.8,8.4,9.1,15.3,18.6,20.5,21.2,16.6,16.7,9.6,8.4,42.54583,-2.91472,Casalarreina,España
150,3.6,5.5,9.3,20.5,23.0,21.4,16.5,14.5,7.5,3.4,,,44.63341,8.73269,Casaleggio Boiro,Italia
151,7.6,9.6,13.7,19.2,24.3,26.4,25.6,21.9,18.3,13.0,10.0,,43.84601,6.5165,Castellane,France
152,14.3,15.2,14.7,16.5,20.0,22.7,24.4,24.9,22.8,20.6,18.0,16.5,36.28332,-5.42141,Castellar de la Frontera,España
153,4.0,7.8,9.2,10.5,17.4,20.3,22.2,22.9,17.5,17.1,9.8,7.4,42.99998,1.34027,Castelnau-Durban,France
154,2.9,8.1,12.1,19.7,22.9,25.3,25.7,19.8,18.3,10.7,7.8,,44.27445,1.35239,Castelnau-Montratier-Sainte-Alauzie,France
155,10.1,11.6,12.7,12.7,17.6,17.8,22.3,20.2,18.9,17.2,13.5,13.0,41.03967,-8.27381,Castelo de Paiva,Portugal
156,2.5,6.1,10.9,18.4,22.6,25.6,23.4,17.6,,,,,45.73949,7.48541,Fénis,Italia
157,4.6,8.1,8.2,10.9,19.2,24.0,27.7,25.9,19.8,17.1,10.2,8.2,39.66098,-2.38315,Castillo de Garcimuñoz,España
158,6.8,9.3,,12.8,19.3,19.4,25.3,24.4,20.1,18.3,12.5,11.6,42.37476,-7.41793,Castro Caldelas,España
159,11.5,13.6,14.1,16.0,21.7,24.1,27.9,25.1,23.1,21.4,16.4,14.5,37.22004,-7.44465,Castro Marim,Portugal
160,6.3,10.0,13.5,19.6,24.7,26.4,26.8,22.3,19.2,13.8,,,41.72947,1.52606,Calaf,España
161,4.1,6.7,9.8,14.6,19.7,20.6,15.0,14.4,9.3,3.7,,,50.07606,3.64633,Catillon-sur-Sambre,France
162,4.4,5.2,8.2,15.3,18.9,19.3,21.4,14.2,13.3,7.0,,,52.62772,10.07243,Celle,Deutschland
163,6.2,8.2,9.8,11.4,15.8,18.3,21.2,21.2,16.5,15.7,10.6,5.8,48.11816,-1.59108,Cesson-Sévigné,France
164,10.4,13.1,13.8,15.4,22.3,27.1,29.3,29.3,25.8,21.4,17.2,14.4,38.08146,-1.26612,Ceutí,España
165,5.8,8.3,10.5,12.3,16.9,19.4,22.5,22.7,17.3,16.4,11.0,6.4,47.33826,-1.26556,Orée d'Anjou,France
166,4.6,8.2,11.8,18.1,20.6,23.0,24.2,18.1,17.7,10.7,,,45.82484,0.45165,Chasseneuil-sur-Bonnieure,France
167,6.2,8.2,9.8,11.4,15.8,18.3,21.2,21.2,16.5,15.7,10.6,5.8,47.70314,-1.37806,Châteaubriant,France
168,5.0,8.6,12.5,19.0,21.2,23.6,24.7,18.8,17.9,11.1,7.0,,45.59879,-0.05668,Châteauneuf-sur-Charente,France
169,-1.6,-1.3,-2.6,0.3,8.1,13.3,15.5,12.5,8.2,9.0,0.6,0.5,44.00462,10.56248,Borgo a Mozzano,Italia
170,2.1,4.7,8.9,16.0,20.9,21.8,14.0,13.5,7.5,2.6,,,49.05415,7.43442,Bitche,France
171,4.3,4.4,8.7,18.1,19.3,20.9,15.1,12.9,,,,,55.65903,12.55779,København,Danmark
172,5.8,7.5,9.0,9.8,13.9,16.7,19.7,19.9,15.9,14.8,10.1,5.1,48.91888,-0.48117,Clécy,France
173,-1.2,2.4,9.2,15.5,20.4,18.9,13.5,11.8,5.1,0.9,,,45.60844,7.35834,Cogne,Italia
174,8.5,10.1,12.3,12.4,16.2,18.4,21.0,21.4,19.2,20.2,13.9,12.8,43.3804,-4.55387,Ribadedeva,España
175,8.4,11.1,12.5,14.3,19.4,23.9,26.1,26.4,23.2,20.1,15.8,11.8,41.36527,2.02558,Santa Coloma de Cervelló,España
176,9.7,10.6,,12.1,15.6,17.7,20.2,20.5,18.6,18.0,13.6,12.4,43.48468,-5.26054,Colunga,España
177,5.9,10.1,13.4,19.9,25.6,28.3,26.5,21.4,18.2,12.1,9.2,,43.70624,6.50646,Comps-sur-Artuby,France
178,7.1,8.5,11.1,14.3,16.7,19.6,20.2,16.0,14.8,11.7,6.4,,47.87897,-3.92052,Concarneau,France
179,-1.0,-1.6,2.6,9.3,15.0,14.7,8.1,10.1,,,,,46.65264,5.59955,Conliège,France
180,6.9,9.9,12.3,17.9,20.6,23.2,23.4,20.0,19.4,13.7,9.6,,44.09353,-1.31921,Saint-Julien-en-Born,France
181,2.4,7.7,11.7,19.5,23.3,25.6,25.9,19.9,18.6,11.0,7.7,,44.06432,1.95788,Cordes-sur-Ciel,France
182,8.5,10.1,12.3,12.4,16.2,18.4,21.0,21.4,19.2,20.2,13.9,12.8,43.23353,-4.39832,Rionansa,España
183,3.9,7.5,9.9,11.3,17.3,20.2,22.5,23.0,16.8,16.6,9.7,5.9,46.29857,0.1783,Valence-en-Poitou,France
184,5.2,9.1,11.3,12.6,19.1,21.6,24.1,24.7,19.5,18.6,11.7,8.2,44.77655,-0.34809,Créon,France
185,2.6,5.9,9.6,15.8,19.0,20.0,20.8,15.0,15.7,8.8,5.1,,46.45903,1.60571,Cuzion,France
186,4.8,7.3,11.4,16.7,19.5,22.3,22.5,16.8,15.9,10.0,,,47.24089,-0.0226,Saumur,France
187,8.2,10.7,12.8,17.4,20.0,22.2,22.9,19.7,20.5,14.1,12.6,,43.28942,-1.50419,Urdazubi/Urdax,España
188,5.4,9.3,12.1,18.1,20.8,23.3,23.7,19.4,18.7,11.8,9.5,,43.71435,-1.04945,Dax,France
189,4.4,8.1,9.1,10.8,17.6,20.2,22.3,23.1,18.6,17.9,10.2,7.9,42.89361,-0.11256,Cauterets,France
190,10.7,11.9,13.2,18.4,18.7,22.5,20.7,19.6,18.1,13.7,13.4,,40.11313,-8.49521,Condeixa-a-Nova,Portugal
191,8.0,9.7,11.6,11.1,15.6,18.0,20.6,20.9,18.5,19.3,13.2,11.9,43.30792,-2.01442,Donostia - San Sebastián,España
192,5.4,7.3,8.6,10.0,15.0,16.2,19.9,19.5,16.4,15.5,10.6,9.1,43.56322,-7.25775,Foz,España
193,6.5,8.1,10.5,14.2,16.7,19.5,19.8,16.4,15.3,10.7,6.0,,48.45451,-2.02963,Lanvallay,France
194,4.4,8.1,9.1,10.8,17.6,20.2,22.3,23.1,18.6,17.9,10.2,7.9,42.98787,-0.4224,Laruns,France
195,13.2,14.7,15.8,20.7,22.1,25.8,22.9,21.5,20.9,17.1,15.9,,37.16536,-7.51994,Vila Nova de Cacela,Portugal
196,5.1,8.0,12.2,18.9,24.3,25.7,24.7,20.2,16.7,11.9,9.0,,43.52395,13.43666,Offagna,Italia
197,3.7,6.2,9.6,17.0,20.2,20.9,15.1,13.8,8.4,3.8,,,49.92636,2.92651,Péronne,France
198,2.4,4.4,6.6,8.1,15.1,17.5,22.5,21.6,15.4,13.6,7.4,6.4,42.51855,-4.74117,Saldaña,España
199,10.6,11.8,13.4,17.8,18.5,21.3,19.8,19.8,17.9,14.5,14.4,,38.91809,-9.3835,São João das Lampas e Terrugem,Portugal
200,8.2,10.7,12.8,17.4,20.0,22.2,22.9,19.7,20.5,14.1,12.6,,43.31207,-1.58398,Sare,France
201,2.5,6.4,10.8,18.1,21.5,22.9,23.1,16.2,15.3,8.6,,,48.23335,7.40611,Orschwiller,France
202,4.0,7.3,9.3,10.4,17.4,21.3,23.2,23.6,18.8,18.3,10.1,8.1,42.52634,-1.68285,Tafalla,España
203,3.6,6.7,10.0,17.4,22.3,24.9,22.2,17.6,14.9,8.2,,,42.16312,0.89043,Tremp,España
