,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,latitude,longitude,town,country
50,12.21,13.11,14.72,16.67,19.7,23.06,25.71,26.43,23.84,20.32,15.78,13.32,37.15425,-2.77737,Abla,España
51,7.51,7.95,9.56,10.98,13.43,16.31,18.08,18.32,16.93,13.95,9.92,8.37,42.75889,-8.02111,Agolada,España
52,3.55,4.97,7.38,9.84,14.05,19.17,21.98,20.99,16.97,12.6,6.96,4.42,41.84743,-1.93007,Ágreda,España
53,3.54,4.74,7.51,9.81,13.72,18.22,20.74,20.57,16.99,12.52,6.97,4.46,42.7863,-4.25724,Aguilar de Campoo,España
54,7.26,8.3,11.11,14.06,17.89,22.35,24.6,24.09,20.3,16.52,11.5,8.09,43.56522,4.19645,Aigues-Mortes,France
55,10.91,12.62,15.17,17.62,21.82,25.82,28.25,28.31,24.82,20.69,14.81,12.04,38.03745,-5.71036,Alanís,España
56,2.6,6.09,7.87,10.37,15.38,20.22,23.34,22.55,17.88,13.27,7.53,5.17,41.12133,-0.50825,Albalate del Arzobispo,España
57,6.16,8.31,11.28,14.26,19.22,25.03,28.37,27.56,22.44,16.76,10.17,7.03,39.38959,-3.21934,Alcázar de San Juan,España
58,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.26326,1.1729,Alcover,España
59,3.18,2.93,3.73,5.79,8.87,11.7,13.94,14.3,12.23,8.98,6.19,4.05,62.47643,6.15842,Ålesund,Norge
60,6.6,8.33,11.11,14.24,18.21,23.06,25.42,25.07,21.2,16.55,10.69,7.0,41.43594,-1.23827,Alfamén,España
61,-1.16,0.86,3.98,8.29,13.58,18.01,18.18,18.55,13.28,9.65,3.82,0.27,48.22077,11.62534,München,Deutschland
62,12.21,13.11,14.72,16.67,19.7,23.06,25.71,26.43,23.84,20.32,15.78,13.32,36.69709,-2.79397,El Ejido,España
63,0.88,1.61,4.47,8.67,12.65,16.2,17.87,17.44,13.32,9.47,5.16,1.91,50.74863,9.27856,Alsfeld,Deutschland
64,-7.11,-7.14,-3.54,0.98,5.91,10.34,13.99,12.61,8.72,2.85,-2.14,-4.74,69.98899,23.48611,Alta,Norge
65,2.21,4.31,8.44,12.84,16.97,21.88,23.86,23.24,18.72,13.29,7.65,2.95,45.78528,8.44087,Vacciago,Italia
66,2.42,3.97,6.43,10.39,14.52,18.49,19.65,19.62,15.21,11.15,6.77,3.6,49.24773,6.13846,Hagondange,France
67,7.89,8.54,10.68,13.3,16.29,19.56,21.63,21.46,19.31,16.13,11.66,8.83,44.74496,-1.11095,Andernos-les-Bains,France
68,2.6,6.09,7.87,10.37,15.38,20.22,23.34,22.55,17.88,13.27,7.53,5.17,40.98399,-0.44725,Andorra,España
69,12.17,13.07,14.59,16.64,19.77,23.6,25.95,26.44,23.67,19.76,15.41,13.16,37.0213,-4.57154,Antequera,España
70,4.61,5.58,8.37,12.23,16.85,22.0,24.67,24.16,18.37,14.09,9.6,5.97,43.5595,12.42003,Apecchio,Italia
71,3.54,4.74,7.51,9.81,13.72,18.22,20.74,20.57,16.99,12.52,6.97,4.46,41.67026,-3.69273,Aranda de Duero,España
72,4.6,6.36,8.8,12.66,16.51,21.32,24.51,23.94,19.16,14.19,9.67,5.78,43.47195,11.88764,Arezzo,Italia
73,5.41,6.48,9.39,11.75,15.23,19.61,21.47,21.69,18.69,14.79,9.16,5.98,42.17361,-1.59155,Arguedas,España
74,6.03,7.07,9.89,12.47,16.25,20.76,22.74,22.55,19.08,14.82,9.48,6.37,42.21404,-2.23987,Arnedillo,España
75,3.44,5.0,7.12,10.03,13.48,16.64,18.3,18.17,15.38,11.92,7.49,4.11,50.29442,2.78836,Saint-Laurent-Blangy,France
76,6.16,6.66,7.75,9.27,12.51,15.59,17.76,17.53,16.58,14.46,9.61,6.39,49.33906,-0.6258,Arromanches-les-Bains,France
77,6.03,7.07,9.89,12.47,16.25,20.76,22.74,22.55,19.08,14.82,9.48,6.37,42.58921,-2.0957,Arróniz,España
78,5.22,6.17,8.84,11.27,14.62,18.4,19.91,19.96,17.3,13.86,8.55,6.17,42.87507,-0.39439,Laruns,France
79,8.35,9.16,10.86,12.35,14.87,17.6,19.35,19.58,18.16,15.05,10.79,9.09,42.08722,-8.41389,As Neves,España
80,6.14,7.24,8.92,11.12,14.15,17.07,18.98,19.07,16.91,13.66,9.12,7.58,42.81034,-7.10733,As Nogais,España
81,10.57,11.81,14.23,16.68,20.55,25.09,27.47,27.33,23.78,19.69,14.25,10.93,41.18698,0.56835,Ascó,España
82,3.28,4.89,7.72,10.16,14.05,18.6,20.76,20.41,17.14,12.3,6.88,4.19,42.45136,-6.06599,Astorga,España
83,5.46,6.45,9.25,12.18,15.76,19.77,21.69,21.5,18.28,14.45,9.08,6.2,43.63736,0.58601,Auch,France
84,6.05,6.45,8.14,10.75,13.45,16.65,18.78,17.92,15.9,12.97,9.02,6.63,47.66396,-2.97342,Auray,France
85,2.28,4.17,8.1,12.65,16.0,20.3,22.0,21.03,17.31,12.67,6.77,2.88,45.0518,6.07838,Auris,France
86,3.23,4.41,7.2,10.67,14.48,18.6,20.35,19.84,15.81,12.04,7.19,4.12,46.95545,4.3163,Autun,France
87,1.07,4.4,7.29,11.63,15.78,20.92,22.97,21.9,17.75,13.05,6.53,1.49,45.07324,7.39034,Avigliana,Italia
88,4.97,5.73,8.37,11.17,14.58,18.47,20.16,19.93,16.68,12.89,8.38,5.5,47.21286,0.17715,Avoine,France
89,6.03,7.07,9.89,12.47,16.25,20.76,22.74,22.55,19.08,14.82,9.48,6.37,42.65421,-2.0455,Iratxe,España
90,-0.3,1.26,3.68,5.47,11.39,18.0,17.78,17.72,13.47,9.83,4.16,0.84,50.31196,9.79737,Bad Brückenau,Deutschland
91,8.87,10.73,13.62,16.04,20.4,24.65,26.98,27.02,23.72,18.8,12.85,9.8,38.88471,-6.97873,Badajoz,España
92,2.21,3.24,6.25,10.21,14.25,18.17,19.48,19.01,14.91,10.87,6.14,3.21,48.78174,8.20428,Baden-Baden,Deutschland
93,8.71,10.69,12.87,15.32,20.33,25.33,29.09,28.44,23.28,18.82,12.46,10.16,37.99629,-3.45957,Baeza,España
94,5.22,6.17,8.84,11.27,14.62,18.4,19.91,19.96,17.3,13.86,8.55,6.17,43.0733,0.15366,Bagnères-de-Bigorre,France
95,1.69,3.3,6.98,10.99,14.48,18.87,20.81,20.13,15.82,11.35,6.1,2.5,45.97138,6.0312,Dalmaz,France
96,-0.74,1.18,4.94,10.23,14.35,18.93,20.65,19.81,15.08,10.12,5.34,0.28,46.22619,14.70403,Kamnik,Slovenija
97,0.81,1.68,4.95,9.59,13.92,17.77,19.08,18.53,13.95,9.57,5.0,1.89,49.88608,10.90295,Bamberg,Deutschland
98,9.84,10.08,11.54,12.81,15.24,17.85,19.56,19.84,18.53,15.79,12.15,10.63,43.33976,-8.35468,Oleiros,España
99,-4.3,-3.86,-1.96,1.51,5.8,9.87,10.89,11.26,7.7,5.41,1.03,-2.75,47.67176,12.01018,Bayrischzell,Deutschland
100,2.76,3.86,7.31,10.88,14.65,18.98,20.74,20.27,16.37,11.83,6.63,3.62,47.01776,4.83685,Beaune,France
101,6.14,7.24,8.92,11.12,14.15,17.07,18.98,19.07,16.91,13.66,9.12,7.58,42.85283,-7.15322,Becerreá,España
102,5.57,6.57,9.95,13.76,17.65,22.34,24.9,23.74,19.5,15.39,9.71,6.05,44.12493,5.17239,Bédoin,France
103,1.74,4.01,8.27,12.65,16.45,20.62,22.38,21.41,17.49,12.32,6.77,1.91,46.20135,9.01748,Bellinzona,Schweiz/Suisse/Svizzera/Svizra
104,5.53,7.7,9.1,11.76,18.23,24.56,26.54,24.81,21.62,16.81,10.72,6.15,46.13766,12.2141,Belluno,Italia
105,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.24624,1.56985,Bellvei,España
106,10.39,11.41,13.57,15.81,19.43,23.66,26.32,26.53,23.4,19.46,14.24,11.27,39.70905,-1.10108,Benagéber,España
107,4.95,5.71,8.15,10.35,13.52,17.34,19.14,19.27,16.62,13.17,8.34,5.64,43.1034,-2.42424,Bergara,España
108,5.36,6.21,9.18,12.09,15.77,19.66,21.34,20.84,17.37,13.83,8.89,5.9,44.87108,0.50389,Bergerac,France
109,9.24,9.73,11.87,13.61,16.28,19.52,21.35,21.71,19.82,17.14,12.48,10.34,43.4233,-2.72611,Bermeo,España
110,5.84,6.85,9.78,12.59,15.88,19.68,21.38,21.32,18.12,14.33,9.19,6.51,44.36954,-0.24272,Bernos-Beaulac,France
111,5.41,6.48,9.39,11.75,15.23,19.61,21.47,21.69,18.69,14.79,9.16,5.98,42.84038,-1.6652,Berriozar,España
112,10.39,11.41,13.57,15.81,19.43,23.66,26.32,26.53,23.4,19.46,14.24,11.27,39.57951,-0.44537,Bétera,España
113,8.23,8.94,10.99,12.94,15.54,18.64,20.55,20.74,18.78,16.17,11.54,9.38,43.4659,-1.57174,Biarritz,France
114,10.39,11.41,13.57,15.81,19.43,23.66,26.32,26.53,23.4,19.46,14.24,11.27,39.13286,-0.79065,Bicorp,España
115,2.65,3.63,6.85,11.11,15.06,18.74,20.22,19.72,15.55,11.08,6.68,3.51,49.96882,7.94462,Bingen am Rhein,Deutschland
116,7.84,8.57,10.68,13.12,16.05,19.15,21.24,21.09,19.21,16.03,11.49,8.76,44.45887,-1.24529,La Teste-de-Buch,France
117,-1.76,-0.95,2.29,6.94,11.31,15.2,16.45,16.06,11.78,7.54,2.85,-0.56,50.0537,11.7935,Rangen,Deutschland
118,6.14,7.24,8.92,11.12,14.15,17.07,18.98,19.07,16.91,13.66,9.12,7.58,43.42094,-6.8145,El Serredo,España
119,3.28,4.89,7.72,10.16,14.05,18.6,20.76,20.41,17.14,12.3,6.88,4.19,42.87276,-5.32588,Boñar,España
120,5.52,6.67,9.62,12.54,16.15,20.16,22.11,21.64,18.45,14.54,9.3,6.28,44.17784,0.66167,Boé,France
121,2.21,3.24,6.25,10.21,14.25,18.17,19.48,19.01,14.91,10.87,6.14,3.21,48.68872,8.1292,Bühl,Deutschland
122,1.03,4.81,8.68,13.0,17.02,22.92,24.11,23.04,18.85,12.94,6.36,1.39,46.47317,11.33717,Bolzano - Bozen,Italia
123,2.38,3.34,6.31,9.3,12.78,16.96,18.9,18.33,14.63,11.43,6.32,3.62,45.39896,2.49721,Bort-les-Orgues,France
124,5.25,5.48,7.18,9.75,12.5,15.2,17.33,17.63,15.91,13.07,9.09,6.37,50.74415,1.59751,Boulogne-sur-Mer,France
125,4.28,5.11,8.2,11.36,14.87,19.04,20.69,20.37,16.72,12.8,7.8,4.94,47.07638,2.39861,Bourges,France
126,4.78,5.89,8.69,11.18,14.48,18.46,20.04,20.04,16.99,13.5,8.14,5.57,43.17786,0.97461,Boussens,France
127,4.82,5.89,9.01,11.95,15.22,19.3,20.94,20.65,17.23,13.77,8.6,5.77,44.48413,1.644,Bouziès,France
128,-4.17,0.08,2.49,6.7,11.61,16.93,17.92,17.1,12.8,7.96,2.39,-2.35,46.33312,13.53951,Bovec,Slovenija
129,4.66,6.18,8.84,11.11,15.02,19.43,22.02,21.81,18.35,13.35,7.84,5.29,41.80398,-6.74596,Bragança,Portugal
130,4.77,6.89,9.1,11.93,15.58,19.61,21.33,20.99,16.72,13.63,8.1,6.11,45.3791,0.64585,Brantôme en Périgord,France
131,4.77,6.89,9.1,11.93,15.58,19.61,21.33,20.99,16.72,13.63,8.1,6.11,45.36042,0.64791,Brantôme en Périgord,France
132,-11.76,-10.32,-10.27,-7.52,-4.43,0.36,2.67,2.55,-0.59,-3.39,-7.56,-9.38,45.92608,7.62047,Breuil-Cervinia,Italia
133,1.64,1.04,3.19,7.34,11.27,14.48,17.85,14.89,13.01,10.41,3.93,1.1,44.00515,2.69351,Broquiès,France
134,6.13,7.05,9.79,12.67,16.05,19.6,21.4,21.03,18.12,14.47,9.81,6.86,45.33291,-0.04577,Brossac,France
135,5.13,7.39,9.8,12.59,17.58,23.15,26.42,25.41,20.46,15.22,9.04,6.41,40.36809,-2.76267,Garcinarro,España
136,9.68,10.11,12.32,15.15,19.2,24.07,26.91,26.78,22.95,19.25,14.38,10.93,39.40275,8.40184,Bugerru/Buggerru,Italia
137,6.14,7.24,8.92,11.12,14.15,17.07,18.98,19.07,16.91,13.66,9.12,7.58,43.6532,-7.35838,Burela,España
138,3.54,4.74,7.51,9.81,13.72,18.22,20.74,20.57,16.99,12.52,6.97,4.46,42.35139,-3.68056,Burgos,España
139,12.21,13.11,14.72,16.67,19.7,23.06,25.71,26.43,23.84,20.32,15.78,13.32,36.81611,-2.14961,Níjar,España
140,4.82,5.89,9.01,11.95,15.22,19.3,20.94,20.65,17.23,13.77,8.6,5.77,44.44022,1.4409,Cahors,France
141,7.41,10.18,11.69,13.97,18.24,23.55,25.75,25.72,21.93,17.56,11.82,9.29,41.73494,1.51397,Calaf,España
142,2.6,6.09,7.87,10.37,15.38,20.22,23.34,22.55,17.88,13.27,7.53,5.17,41.35056,-1.64679,Calatayud,España
143,7.4,7.31,8.59,10.54,13.06,15.59,17.46,16.97,15.57,13.38,10.39,8.19,48.2741,-4.60858,Camaret-sur-Mer,France
144,5.22,6.17,8.84,11.27,14.62,18.4,19.91,19.96,17.3,13.86,8.55,6.17,43.01819,0.17829,Campan,France
145,0.87,2.94,7.04,11.72,16.02,20.5,22.07,21.54,16.22,11.7,6.96,1.97,46.09956,14.51606,Ljubljana,Slovenija
146,11.3,12.66,13.59,15.29,19.32,23.25,26.31,26.63,23.66,19.62,14.99,12.99,38.93856,-0.1527,l'Alqueria de la Comtessa,España
147,2.95,3.75,6.69,10.09,13.31,17.52,20.04,19.31,15.9,12.3,7.17,4.07,44.568,2.58947,Campuac,France
148,10.43,11.1,12.05,13.48,15.35,17.79,20.0,20.69,19.26,17.0,13.29,11.54,43.58487,-5.77208,Candás,España
149,10.43,11.1,12.05,13.48,15.35,17.79,20.0,20.69,19.26,17.0,13.29,11.54,43.3526,-5.12553,Cangas de Onís / Cangues d'Onís,España
150,8.35,9.16,10.86,12.35,14.87,17.6,19.35,19.58,18.16,15.05,10.79,9.09,42.25536,-8.79764,Cangas,España
151,3.77,5.86,8.92,11.44,16.05,21.38,24.38,23.22,18.58,13.75,7.71,4.61,40.52591,-0.40742,Cantavieja,España
152,8.23,8.94,10.99,12.94,15.54,18.64,20.55,20.74,18.78,16.17,11.54,9.38,43.63606,-1.44719,Capbreton,France
153,6.6,8.33,11.11,14.24,18.21,23.06,25.42,25.07,21.2,16.55,10.69,7.0,41.33796,-1.23041,Cariñena,España
154,10.81,10.98,12.04,13.02,15.09,17.34,18.92,19.42,18.53,16.41,13.12,11.68,43.73358,-7.87437,Cariño,España
155,6.05,6.45,8.14,10.75,13.45,16.65,18.78,17.92,15.9,12.97,9.02,6.63,47.58462,-3.08237,Carnac,France
156,7.51,7.95,9.56,10.98,13.43,16.31,18.08,18.32,16.93,13.95,9.92,8.37,42.84105,-9.09585,Carnota,España
157,3.87,5.68,8.45,10.78,14.92,20.0,22.6,22.26,18.43,13.46,7.5,4.71,42.33812,-4.608,Carrión de los Condes,España
158,6.87,7.99,10.42,13.25,16.23,19.55,21.43,21.27,18.85,15.31,10.26,7.7,43.47287,-0.93416,Salies-de-Béarn,France
159,11.88,12.95,14.88,16.95,20.2,23.97,26.52,26.97,24.4,20.62,15.68,12.76,37.61503,-1.00549,Cartagena,España
160,6.59,7.49,10.28,12.92,16.21,19.89,21.51,21.39,18.58,14.91,10.03,7.28,45.18262,-0.5835,Cartelègue,France
161,4.95,5.71,8.15,10.35,13.52,17.34,19.14,19.27,16.62,13.17,8.34,5.64,42.54583,-2.91472,Casalarreina,España
162,8.92,9.95,11.91,14.95,18.31,22.52,24.98,25.19,22.07,17.83,13.29,10.2,44.63341,8.73269,Casaleggio Boiro,Italia
163,5.52,6.67,9.62,12.54,16.15,20.16,22.11,21.64,18.45,14.54,9.3,6.28,44.31055,0.07896,Casteljaloux,France
164,7.87,8.59,10.89,13.96,17.63,21.6,24.33,24.02,20.64,16.6,12.01,8.67,43.84601,6.5165,Castellane,France
165,13.63,14.06,15.2,16.66,19.05,21.74,23.93,24.36,22.52,19.87,16.38,14.7,36.28332,-5.42141,Castellar de la Frontera,España
166,4.78,5.89,8.69,11.18,14.48,18.46,20.04,20.04,16.99,13.5,8.14,5.57,42.99998,1.34027,Castelnau-Durban,France
167,5.35,6.76,9.67,13.03,16.55,20.49,22.81,22.4,18.93,14.69,9.3,6.1,44.27445,1.35239,Castelnau-Montratier-Sainte-Alauzie,France
168,10.07,11.72,13.17,14.62,17.76,19.04,21.42,21.24,20.25,16.73,13.15,11.38,41.03967,-8.27381,Castelo de Paiva,Portugal
169,1.05,4.07,7.06,10.84,15.18,19.99,22.28,21.19,16.91,12.3,5.25,0.07,45.73949,7.48541,Fénis,Italia
170,5.08,6.47,9.3,12.0,16.89,22.54,25.83,25.33,20.24,15.15,8.79,6.04,39.66098,-2.38315,Castillo de Garcimuñoz,España
171,7.66,9.74,11.8,14.41,17.79,20.65,23.49,23.15,20.33,16.06,10.69,8.7,42.37476,-7.41793,Castro Caldelas,España
172,10.89,13.02,14.35,16.53,20.59,23.29,26.16,26.22,23.48,20.08,15.07,12.72,37.22004,-7.44465,Castro Marim,Portugal
173,7.41,10.18,11.69,13.97,18.24,23.55,25.75,25.72,21.93,17.56,11.82,9.29,41.72947,1.52606,Calaf,España
174,3.44,5.0,7.12,10.03,13.48,16.64,18.3,18.17,15.38,11.92,7.49,4.11,50.07606,3.64633,Catillon-sur-Sambre,France
175,1.03,2.13,4.93,10.25,14.63,17.28,19.12,17.66,14.62,11.5,4.73,1.05,47.6332,7.01866,Chavannes-sur-l'Étang,France
176,2.92,3.21,5.16,7.36,13.37,19.37,19.38,19.29,15.14,12.23,6.72,2.72,52.62772,10.07243,Celle,Deutschland
177,6.02,6.43,8.44,10.86,13.99,17.34,19.01,18.62,16.3,13.05,9.11,6.49,48.11816,-1.59108,Cesson-Sévigné,France
178,10.87,12.21,14.54,16.91,20.73,25.14,27.84,27.83,24.39,20.22,14.66,11.65,38.08146,-1.26612,Ceutí,España
179,6.22,6.67,8.92,11.5,14.59,18.07,19.62,19.31,16.88,13.44,9.37,6.69,47.33826,-1.26556,Orée d'Anjou,France
180,4.8,6.13,9.34,12.17,15.46,19.07,20.79,21.3,17.84,13.78,9.44,6.65,45.82484,0.45165,Chasseneuil-sur-Bonnieure,France
181,6.02,6.43,8.44,10.86,13.99,17.34,19.01,18.62,16.3,13.05,9.11,6.49,47.70314,-1.37806,Châteaubriant,France
182,6.13,7.05,9.79,12.67,16.05,19.6,21.4,21.03,18.12,14.47,9.81,6.86,45.59879,-0.05668,Châteauneuf-sur-Charente,France
183,-2.78,-2.36,-1.45,1.18,5.34,10.59,12.73,12.28,7.72,5.13,0.96,-1.49,44.00462,10.56248,Borgo a Mozzano,Italia
184,1.83,4.74,6.48,9.68,12.74,18.87,20.0,19.96,15.54,11.3,5.97,3.41,49.05415,7.43442,Bitche,France
185,2.91,2.71,5.27,8.01,13.04,18.9,20.24,19.23,15.64,12.18,8.1,2.62,55.65903,12.55779,København,Danmark
186,7.41,10.18,11.69,13.97,18.24,23.55,25.75,25.72,21.93,17.56,11.82,9.29,41.42423,2.20726,Barcelona,España
187,5.51,6.02,7.65,9.82,12.84,15.96,17.86,17.86,15.61,12.48,8.87,6.24,48.91888,-0.48117,Clécy,France
188,1.05,4.07,7.06,10.84,15.18,19.99,22.28,21.19,16.91,12.3,5.25,0.07,45.60844,7.35834,Cogne,Italia
189,9.57,10.51,12.3,13.76,16.36,18.82,20.33,20.83,19.64,16.97,12.46,10.62,40.19993,-8.42958,Coimbra,Portugal
190,9.59,9.72,11.32,12.71,14.99,17.8,19.7,20.14,18.49,16.41,12.51,10.64,43.3804,-4.55387,Ribadedeva,España
191,9.31,10.21,12.24,14.51,17.76,22.05,24.68,24.99,22.11,18.44,13.27,10.14,41.36527,2.02558,Santa Coloma de Cervelló,España
192,10.43,11.1,12.05,13.48,15.35,17.79,20.0,20.69,19.26,17.0,13.29,11.54,43.48468,-5.26054,Colunga,España
193,6.75,8.02,10.72,13.99,18.16,22.75,25.62,25.05,20.51,15.98,10.88,7.49,43.70624,6.50646,Comps-sur-Artuby,France
194,7.11,7.06,8.49,10.64,13.22,15.98,17.62,17.23,15.49,12.96,9.9,7.68,47.87897,-3.92052,Concarneau,France
